Team,Player Name,Age,Nationality,Primary Role,IPL 2026 Salary (Cr),Overseas Status,Status,Bowling Type (Spinner/Pacer/NA),Bowling Hand,"Batting Hand (""Right"" or  ""Left"")",Current Batting,Potential Batting,Current Bowling,Potential Bowling,Reputation,Batting Aggression (1-99),Can they keep wickets?,Are they a part time wicketkeeper?,Core Batter,Finisher?,Captaincy,Opener?,Only Opener,hasBattedAt3,hasBattedAt4,hasBattedAt5,hasBattedAt6,hasBattedAt7,IPL Captain Desire,2026 Team (Salary),2025 Team (Salary),2024 Team (Salary),2023 Team (Salary),2022 Team (Salary),2021 Team (Salary),2020 Team (Salary),2019 Team (Salary),2018 Team (Salary),2017 Team (Salary),2016 Team (Salary),2015 Team (Salary),2014 Team (Salary),2013 Team (Salary),2012 Team (Salary),2011 Team (Salary),2010 Team (Salary),2009 Team (Salary),2008 Team (Salary),T20 Games,T20 Batting Innings,T20 batting average,T20 runs,T20 strike rate,T20 bowling innings,T20 bowling average,T20 wickets,T20 WK Catches,T20 WK Stumpings,IPL games,IPL runs,IPL average,IPL strike rate,IPL bowling innings,IPL bowling average,IPL wickets
Gujarat Titans,Anuj Rawat,26.00,India,Wicketkeeper-Batter,0.3,Indian,Uncapped,NA,NA,LHB,76,82,0,0,5,80,Yes,No,Yes,No,55,No,no,TRUE,TRUE,TRUE,TRUE,TRUE,,GT (30.00 L),GT (30.00 L),RCB (3.40 Cr),RCB (3.40 Cr),RCB (3.40 Cr),RR (80.00 L),RR (80.00 L),--,--,--,--,--,--,--,--,--,--,--,--,24,21,19.88,318,119.11,0,0,0,0,0,24,318,19.88,119.11,--,--,--
Gujarat Titans,Ashok Sharma,24.00,India,Bowler (Pace),0.9,Indian,Uncapped,Pacer,Right Handed Bowler,RHB,0,0,78,79,4,25,No,No,No,No,40,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (90.00 L),RR (30.00 L),--,--,KKR (55.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,2,0,1,25,6,38,6,--,--,6,1,0,25,6,38,6
Gujarat Titans,Glenn Phillips,29.00,New Zealand,Batter,2,Overseas,Capped,Spinner,Right Handed Bowler,RHB,81,82,64,64,8,85,No,Yes,Yes,No,72,No,no,TRUE,TRUE,TRUE,TRUE,TRUE,,GT (2.00 Cr),GT (2.00 Cr),SRH (1.50 Cr),SRH (1.50 Cr),SRH (1.50 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,110,98,29.12,2417,141.46,27,33.36,11,--,--,14,132,12,121.11,4,20,2
Gujarat Titans,Gurnoor Singh Brar,25.00,India,Bowler (Pace),1.3,Indian,Capped,Pacer,Right Handed Bowler,LHB,0,0,76,80,4,25,No,No,No,No,40,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (1.30 Cr),GT (1.30 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,0,0,0,0,1,0,0,--,--,1,0,0,0,1,--,0
Gujarat Titans,Ishant Sharma,37.00,India,Bowler (Pace),0.75,Indian,Capped,Pacer,Right Handed Bowler,RHB,0,0,76,76,7,25,No,No,No,No,74,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (75.00 L),GT (75.00 L),DC (50.00 L),DC (50.00 L),--,DC (1.10 Cr),DC (1.10 Cr),DC (1.10 Cr),--,KXIP (2.00 Cr),RPSG (3.80 Cr),SRH (2.60 Cr),SRH (4.25 Cr),SRH (2.39 Cr),DCG (2.18 Cr),DCG (2.03 Cr),KKR (4.34 Cr),KKR (4.62 Cr),KKR (3.81 Cr),131,31,9.35,65,83.38,131,36.32,104,--,--,117,57,9.5,82.61,117,35.18,96
Gujarat Titans,Jason Holder,34.00,West Indies,All-Rounder,7,Overseas,Capped,Pacer,Right Handed Bowler,RHB,76,76,77,77,7,75,No,No,Yes,No,74,No,no,TRUE,TRUE,TRUE,TRUE,TRUE,,GT (7.00 Cr),--,--,RR (5.75 Cr),LSG (8.75 Cr),SRH (75.00 L),--,--,--,--,KKR (70.00 L),--,SRH (75.00 L),CSK (10.64 L),--,--,--,--,--,155,103,16.8,1233,137.38,151,25.95,182,--,--,57,324,12.46,123.67,57,25.01,70
Gujarat Titans,Jayant Yadav,36.00,India,Bowler (Spinner),0.75,Indian,Capped,Spinner,Right Handed Bowler,RHB,0,0,74,74,6,35,No,No,No,No,74,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (75.00 L),GT (75.00 L),GT (1.70 Cr),GT (1.70 Cr),GT (1.70 Cr),MI (50.00 L),MI (50.00 L),DC (50.00 L),DD (50.00 L),DD (10.00 L),DD (10.00 L),DD (10.00 L),DD (10.00 L),--,--,--,--,--,--,20,5,10,40,111.12,20,55.63,8,--,--,20,40,10,111.12,20,55.63,8
Gujarat Titans,Jos Buttler,35.00,England,Wicketkeeper-Batter,15.75,Overseas,Capped,NA,NA,RHB,87,87,0,0,9,85,Yes,No,Yes,No,82,Yes,no,TRUE,TRUE,FALSE,FALSE,FALSE,,GT (15.75 Cr),GT (15.75 Cr),RR (10.00 Cr),RR (10.00 Cr),RR (10.00 Cr),RR (4.40 Cr),RR (4.40 Cr),RR (4.40 Cr),RR (4.40 Cr),MI (3.80 Cr),MI (3.80 Cr),--,--,--,--,--,--,--,--,295,280,36.44,8683,148.74,0,0,0,--,--,138,4646,39.71,149.73,--,--,--
Gujarat Titans,Kagiso Rabada,31.00,South Africa,Bowler (Pace),10.75,Overseas,Capped,Pacer,Right Handed Bowler,LHB,0,0,91,91,9,35,No,No,No,No,75,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (10.75 Cr),GT (10.75 Cr),PBKS (9.25 Cr),PBKS (9.25 Cr),PBKS (9.25 Cr),DC (4.20 Cr),DC (4.20 Cr),DC (4.20 Cr),DD (4.20 Cr),DD (5.00 Cr),--,--,--,--,--,--,--,--,--,263,105,13.57,680,112.15,263,24.83,328,--,--,101,262,13.1,109.63,101,22.69,148
Gujarat Titans,Kumar Kushagra,21.00,India,Wicketkeeper-Batter,0.65,Indian,Uncapped,NA,NA,RHB,74,83,0,0,4,82,Yes,No,Yes,No,65,No,no,FALSE,FALSE,TRUE,TRUE,TRUE,,GT (65.00 L),GT (65.00 L),DC (7.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,4,5.25,21,100,0,0,0,0,0,5,21,5.25,100,--,--,--
Gujarat Titans,Luke Wood,30.00,England,Bowler (Pace),0.75,Overseas,Capped,Pacer,Left Handed Bowler,LHB,0,0,78,78,6,35,No,No,No,No,72,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (75.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,3,2.67,13,232.31,18,27.75,20,--,--,2,9,0,300,2,93,1
Gujarat Titans,Manav Suthar,23.00,India,Bowler (Spinner),0.3,Indian,Uncapped,Spinner,Left Handed Bowler,LHB,0,0,77,83,3,25,No,No,No,No,40,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (30.00 L),GT (30.00 L),GT (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,1,1,1,50,4,47,2,--,--,5,1,1,50,4,47,2
Gujarat Titans,Mohammed Siraj,32.00,India,Bowler (Pace),12.25,Indian,Capped,Pacer,Right Handed Bowler,RHB,0,0,84,84,8,30,No,No,No,No,45,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (12.25 Cr),GT (12.25 Cr),RCB (7.00 Cr),RCB (7.00 Cr),RCB (7.00 Cr),RCB (2.60 Cr),RCB (2.60 Cr),RCB (2.60 Cr),RCB (2.60 Cr),SRH (2.60 Cr),--,--,--,--,--,--,--,--,--,142,33,9.33,131,84.53,142,30.29,145,--,--,125,117,9.75,84.18,125,30.55,128
Gujarat Titans,Mohd. Arshad Khan,28.00,India,All-Rounder,1.3,Indian,Uncapped,Pacer,Left Handed Bowler,LHB,72,79,76,80,4,75,No,No,No,No,52,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (1.30 Cr),GT (1.30 Cr),LSG (20.00 L),MI (20.00 L),MI (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,14,21,147,148.49,25,38.5,18,--,--,27,147,21,148.49,25,38.5,18
Gujarat Titans,Nishant Sindhu,22.00,India,All-Rounder,0.3,Indian,Uncapped,Spinner,Left Handed Bowler,LHB,78,82,73,80,4,75,No,No,Yes,No,45,No,no,TRUE,TRUE,TRUE,TRUE,FALSE,,GT (30.00 L),GT (30.00 L),CSK (60.00 L),CSK (60.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,5,12.6,63,126,0,0,0,--,--,8,63,12.6,126,--,--,--
Gujarat Titans,Prasidh Krishna,30.00,India,Bowler (Pace),9.5,Indian,Capped,Pacer,Right Handed Bowler,RHB,0,0,82,82,7,30,No,No,No,No,50,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (9.50 Cr),GT (9.50 Cr),RR (10.00 Cr),RR (10.00 Cr),RR (10.00 Cr),KKR (20.00 L),KKR (20.00 L),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,84,12,4.58,16,48.49,84,29.34,98,--,--,78,15,5,48.39,78,28.87,90
Gujarat Titans,R. Sai Kishore,29.00,India,Bowler (Spinner),2,Indian,Capped,Spinner,Left Handed Bowler,LHB,0,0,82,84,8,35,No,No,No,No,72,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (2.00 Cr),GT (2.00 Cr),GT (3.00 Cr),GT (3.00 Cr),GT (3.00 Cr),CSK (20.00 L),CSK (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,31,5,4.5,18,112.5,30,20.54,37,--,--,28,18,4.5,112.5,27,21.12,33
Gujarat Titans,Rahul Tewatia,33.00,India,All-Rounder,4,Indian,Capped,Spinner,Right Handed Bowler,LHB,78,78,70,70,8,82,No,No,Yes,Yes,55,No,no,FALSE,TRUE,TRUE,TRUE,TRUE,,GT (4.00 Cr),GT (4.00 Cr),GT (9.00 Cr),GT (9.00 Cr),GT (9.00 Cr),RR (3.00 Cr),RR (3.00 Cr),DC (3.00 Cr),DD (3.00 Cr),KXIP (25.00 L),--,RR (10.00 L),RR (10.00 L),--,--,--,--,--,--,124,92,23.67,1302,138.07,52,34.72,32,--,--,124,1302,23.67,138.07,52,34.72,32
Gujarat Titans,Rashid Khan,27.00,Afghanistan,Bowler (Spinner),18,Overseas,Capped,Spinner,Right Handed Bowler,RHB,74,76,88,90,9,88,No,No,No,No,85,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,No,GT (18.00 Cr),GT (18.00 Cr),GT (15.00 Cr),GT (15.00 Cr),GT (15.00 Cr),SRH (9.00 Cr),SRH (9.00 Cr),SRH (9.00 Cr),SRH (9.00 Cr),SRH (4.00 Cr),--,--,--,--,--,--,--,--,--,517,248,14.29,2873,144.5,517,18.63,699,--,--,153,635,13.8,156.41,153,23.92,179
Gujarat Titans,Sai Sudharsan,24.00,India,Batter,8.5,Indian,Capped,NA,NA,LHB,87,90,0,0,8,85,No,No,Yes,No,75,Yes,no,TRUE,TRUE,FALSE,FALSE,FALSE,,GT (8.50 Cr),GT (8.50 Cr),GT (20.00 L),GT (20.00 L),GT (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,58,57,48.37,2515,149.17,0,0,0,--,--,57,2515,48.37,149.17,--,--,--
Gujarat Titans,Shahrukh Khan,31.00,India,Batter,4,Indian,Uncapped,NA,NA,RHB,77,77,0,0,7,80,No,No,Yes,Yes,55,No,no,FALSE,FALSE,TRUE,TRUE,TRUE,,GT (4.00 Cr),GT (4.00 Cr),GT (7.40 Cr),PBKS (9.00 Cr),PBKS (9.00 Cr),PBKS (5.25 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,64,54,20.39,775,147.91,3,28,1,--,--,64,775,20.39,147.91,3,28,1
Gujarat Titans,Shubman Gill,26.00,India,Batter,16.5,Indian,Capped,NA,NA,RHB,89,93,52,52,10,92,No,No,Yes,No,86,Yes,no,TRUE,TRUE,FALSE,FALSE,FALSE,,GT (16.50 Cr),GT (16.50 Cr),GT (8.00 Cr),GT (8.00 Cr),GT (8.00 Cr),KKR (1.80 Cr),KKR (1.80 Cr),KKR (1.80 Cr),KKR (1.80 Cr),--,--,--,--,--,--,--,--,--,--,170,167,37.68,5467,141.54,0,0,0,--,--,134,4598,40.33,142.09,--,--,--
Gujarat Titans,Tom Banton,27.00,England,Wicketkeeper-Batter,2,Overseas,Capped,NA,NA,RHB,77,80,0,0,7,85,Yes,No,Yes,No,62,Yes,no,TRUE,TRUE,TRUE,TRUE,TRUE,,GT (2.00 Cr),--,--,--,--,--,KKR (1.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,39,35,25.26,753,147.09,0,0,0,0,0,2,18,9,90,--,--,--
Gujarat Titans,Washington Sundar,26.00,India,All-Rounder,3.2,Indian,Capped,Spinner,Right Handed Bowler,LHB,79,84,80,83,8,75,No,No,Yes,No,65,No,no,FALSE,TRUE,TRUE,TRUE,TRUE,,GT (3.20 Cr),GT (3.20 Cr),SRH (8.75 Cr),SRH (8.75 Cr),SRH (8.75 Cr),RCB (3.20 Cr),RCB (3.20 Cr),RCB (3.20 Cr),RCB (3.20 Cr),RPSG (10.00 L),--,--,--,--,--,--,--,--,--,144,87,19.64,1162,133.93,125,30.25,91,--,--,83,888,21.14,135.37,68,38,40
Gujarat Titans,Yarra Prithvi Raj,28.00,India,Bowler (Pace),0.3,Indian,Uncapped,Pacer,Left Handed Bowler,LHB,0,0,68,76,3,25,No,No,No,No,40,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,GT (30.00 L),--,--,--,--,--,--,KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,2,1,0,0,0,2,57,1,--,--,2,0,0,0,2,57,1
Kolkata Knight Riders,Ajinkya Rahane,38.00,India,Batter,1.5,Indian,Capped,NA,NA,RHB,75,75,0,0,8,65,No,No,Yes,No,81,No,no,TRUE,FALSE,FALSE,FALSE,FALSE,,KKR (1.50 Cr),KKR (1.50 Cr),CSK (50.00 L),CSK (50.00 L),KKR (1.00 Cr),DC (4.00 Cr),DC (4.00 Cr),RR (4.00 Cr),RR (4.00 Cr),RPSG (9.50 Cr),RPSG (8.00 Cr),RR (7.50 Cr),RR (7.50 Cr),RR (30.00 L),RR (30.00 L),RR (30.00 L),--,MI,--,232,217,29.29,5742,124.81,1,5,1,--,--,212,5367,30.15,125.61,1,5,1
Kolkata Knight Riders,Akash Deep,29.00,India,Bowler (Pace),1,Indian,Capped,Pacer,Right Handed Bowler,RHB,61,61,78,80,7,35,No,No,No,No,70,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,KKR (1.00 Cr),LSG (8.00 Cr),RCB (20.00 L),RCB (20.00 L),RCB (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,5,8.33,25,178.58,14,54.8,10,--,--,14,25,8.33,178.58,14,54.8,10
Kolkata Knight Riders,Angkrish Raghuvanshi,21.00,India,Batter,3,Indian,Uncapped,NA,NA,RHB,80,89,0,0,4,75,No,Yes,Yes,No,40,Yes,no,TRUE,TRUE,TRUE,FALSE,FALSE,,KKR (3.00 Cr),KKR (3.00 Cr),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,30,34.04,885,145.56,0,0,0,--,--,35,885,34.04,145.56,--,--,--
Kolkata Knight Riders,Anukul Roy,27.00,India,All-Rounder,0.4,Indian,Uncapped,Spinner,Left Handed Bowler,LHB,77,79,79,83,6,55,No,No,No,No,48,No,no,FALSE,FALSE,TRUE,TRUE,TRUE,,KKR (40.00 L),KKR (40.00 L),KKR (20.00 L),KKR (20.00 L),KKR (20.00 L),MI (20.00 L),MI (20.00 L),MI (20.00 L),MI (20.00 L),--,--,--,--,--,--,--,--,--,--,25,14,9.75,78,121.88,22,31.93,15,--,--,25,78,9.75,121.88,22,31.93,15
Kolkata Knight Riders,Blessing Muzarabani,29.00,Zimbabwe,Bowler (Pace),0.75,Overseas,Capped,Pacer,Right Handed Bowler,RHB,0,0,77,78,4,15,No,No,No,No,40,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,KKR (75.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,139,40,3.12,75,59.52,135,22.66,159,--,--,2,0,0,0,2,18.8,4
Kolkata Knight Riders,Cameron Green,27.00,Australia,All-Rounder,25.2,Overseas,Capped,Pacer,Right Handed Bowler,RHB,83,89,79,84,8,85,No,No,Yes,No,65,No,no,TRUE,TRUE,TRUE,TRUE,TRUE,,KKR (25.20 Cr),--,RCB (17.50 Cr),MI (17.50 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,71,68,34.63,1667,151.42,55,33.73,37,--,--,43,1029,38.11,151.11,39,39.04,23
Kolkata Knight Riders,Daksh Kamra,23.00,India,All-Rounder,0.3,Indian,Uncapped,Spinner,Right Handed Bowler,RHB,65,72,70,80,3,40,No,No,No,No,35,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,KKR (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Finn Allen,27.00,New Zealand,Batter,2,Overseas,Capped,NA,NA,RHB,86,89,0,0,8,95,No,Yes,Yes,No,40,Yes,Yes,TRUE,FALSE,TRUE,TRUE,TRUE,,KKR (2.00 Cr),--,--,RCB (80.00 L),RCB (80.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,72,72,29.62,2012,178.26,0,0,0,--,--,11,349,34.9,214.12,--,--,--
Kolkata Knight Riders,Harshit Rana,24.00,India,Bowler (Pace),4,Indian,Capped,Pacer,Right Handed Bowler,RHB,61,68,84,89,7,78,No,No,No,No,40,No,no,FALSE,FALSE,FALSE,FALSE,TRUE,,KKR (4.00 Cr),KKR (4.00 Cr),KKR (20.00 L),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46,17,12.09,151,113.03,43,25.88,54,--,--,33,59,9.83,105.36,32,25.73,40
Kolkata Knight Riders,Kartik Tyagi,25.00,India,Bowler (Pace),0.3,Indian,Uncapped,Pacer,Right Handed Bowler,RHB,53,60,81,86,7,35,No,No,No,No,55,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,KKR (30.00 L),--,GT (60.00 L),SRH (4.00 Cr),SRH (4.00 Cr),RR (1.30 Cr),RR (1.30 Cr),--,--,--,--,--,--,--,--,--,--,--,--,34,10,3.43,24,92.31,33,36.7,33,--,--,34,24,3.43,92.31,33,36.7,33
Kolkata Knight Riders,Manish Pandey,36.00,India,Batter,0.75,Indian,Capped,NA,NA,RHB,75,75,0,0,7,65,No,Yes,Yes,No,75,No,no,TRUE,TRUE,TRUE,TRUE,TRUE,,KKR (75.00 L),KKR (75.00 L),KKR (50.00 L),DC (2.40 Cr),LSG (4.60 Cr),SRH (11.00 Cr),SRH (11.00 Cr),SRH (11.00 Cr),SRH (11.00 Cr),KKR (1.70 Cr),KKR (17.00 L),KKR (1.70 Cr),KKR (1.70 Cr),PWI (20.00 L),PWI (20.00 L),PWI (20.00 L),RCB (13.72 L),RCB (15.00 L),MI (12.00 L),219,197,31.98,4721,122.49,0,0,0,0,0,180,4012,29.5,121.84,--,--,--
Kolkata Knight Riders,Matheesha Pathirana,23.00,Sri Lanka,Bowler (Pace),18,Overseas,Capped,Pacer,Right Handed Bowler,RHB,0,0,83,90,8,25,No,No,No,No,40,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,KKR (18.00 Cr),CSK (13.00 Cr),CSK (20.00 L),CSK (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61,11,3.17,19,51.36,60,20.24,87,--,--,33,0,0,0,33,21.81,47
Kolkata Knight Riders,Prashant Solanki,26.00,India,Bowler (Spinner),0.3,Indian,Uncapped,Spinner,Right Handed Bowler,RHB,0,0,72,76,4,25,No,No,No,No,40,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,KKR (30.00 L),--,CSK (1.20 Cr),CSK (1.20 Cr),CSK (1.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,0,0,0,0,2,19,2,--,--,2,0,0,0,2,19,2
Kolkata Knight Riders,Rachin Ravindra,26.00,New Zealand,All-Rounder,2,Overseas,Capped,Spinner,Left Handed Bowler,LHB,82,90,76,80,8,82,No,No,Yes,No,72,Yes,no,TRUE,TRUE,TRUE,TRUE,TRUE,,KKR (2.00 Cr),CSK (4.00 Cr),CSK (1.80 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,69,64,21.57,1172,138.33,27,17.46,26,--,--,18,413,24.29,143.91,2,--,0
Kolkata Knight Riders,Rahul Tripathi,35.00,India,Batter,0.75,Indian,Capped,NA,NA,RHB,79,79,0,0,6,78,No,Yes,Yes,No,65,Yes,no,TRUE,TRUE,TRUE,FALSE,FALSE,,KKR (75.00 L),CSK (3.40 Cr),SRH (8.50 Cr),SRH (8.50 Cr),SRH (8.50 Cr),KKR (60.00 L),KKR (60.00 L),RR (3.40 Cr),RR (3.40 Cr),RPSG (10.00 L),--,--,--,--,--,--,--,--,--,105,103,25.71,2388,138.13,1,0,0,--,--,100,2291,26.03,137.85,1,--,0
Kolkata Knight Riders,Ramandeep Singh,29.00,India,All-Rounder,4,Indian,Capped,Pacer,Right Handed Bowler,RHB,78,82,71,75,7,82,No,No,Yes,Yes,52,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,KKR (4.00 Cr),KKR (4.00 Cr),KKR (20.00 L),MI (20.00 L),MI (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,40,27,18.55,314,150.83,7,17,8,--,--,38,299,18.69,145.86,6,13.43,7
Kolkata Knight Riders,Rinku Singh,28.00,India,Batter,13,Indian,Capped,Spinner,Right Handed Bowler,LHB,86,89,61,61,8,85,No,No,Yes,Yes,80,No,no,FALSE,TRUE,TRUE,TRUE,FALSE,,KKR (13.00 Cr),KKR (13.00 Cr),KKR (55.00 L),KKR (55.00 L),KKR (55.00 L),KKR (80.00 L),KKR (80.00 L),KKR (80.00 L),KKR (80.00 L),KXIP (10.00 L),--,--,--,--,--,--,--,--,--,117,95,35.78,2059,149.13,3,6.33,3,--,--,72,1394,34,145.97,--,--,--
Kolkata Knight Riders,Rovman Powell,32.00,West Indies,Batter,1.5,Overseas,Capped,NA,NA,RHB,81,81,0,0,8,85,No,No,Yes,No,84,No,no,FALSE,TRUE,TRUE,TRUE,TRUE,,KKR (1.50 Cr),KKR (1.50 Cr),RR (7.40 Cr),DC (2.80 Cr),DC (2.80 Cr),--,--,--,--,KKR (30.00 L),--,--,--,--,--,--,--,--,--,307,255,25.85,5200,142.05,25,42,9,--,--,39,555,22.2,142.31,2,35,1
Kolkata Knight Riders,Sarthak Ranjan,29.00,India,Batter,0.3,Indian,Uncapped,NA,NA,RHB,67,78,0,0,4,65,No,No,Yes,No,48,Yes,no,TRUE,TRUE,TRUE,FALSE,FALSE,,KKR (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Sunil Narine,38.00,West Indies,All-Rounder,12,Overseas,Capped,Spinner,Right Handed Bowler,LHB,77,77,88,88,9,85,No,No,No,No,78,Yes,no,TRUE,FALSE,FALSE,FALSE,FALSE,,KKR (12.00 Cr),KKR (12.00 Cr),KKR (6.00 Cr),KKR (6.00 Cr),KKR (6.00 Cr),KKR (8.50 Cr),KKR (8.50 Cr),KKR (8.50 Cr),KKR (8.50 Cr),KKR (9.50 Cr),KKR (9.50 Cr),KKR (9.50 Cr),KKR (9.50 Cr),KKR (3.72 Cr),KKR (3.40 Cr),--,--,--,--,599,307,15.25,4804,148.73,599,22.13,633,--,--,201,1820,17.5,165.31,200,25.42,207
Kolkata Knight Riders,Tejasvi Singh Dahiya,24.00,India,Wicketkeeper-Batter,3,Indian,Uncapped,NA,NA,RHB,73,81,0,0,4,65,Yes,No,Yes,No,42,No,no,FALSE,FALSE,FALSE,TRUE,TRUE,,KKR (3.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,6,12,80,0,0,0,0,0,2,12,6,80,--,--,--
Kolkata Knight Riders,Tim Seifert,31.00,New Zealand,Wicketkeeper-Batter,1.5,Overseas,Capped,NA,NA,RHB,81,81,0,0,7,85,Yes,No,Yes,No,60,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,,KKR (1.50 Cr),--,--,--,DC (50.00 L),KKR (50.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,95,90,29.64,2324,145.67,0,0,0,0,0,6,45,7.5,109.76,--,--,--
Kolkata Knight Riders,Umran Malik,26.00,India,Bowler (Pace),0.75,Indian,Capped,Pacer,Right Handed Bowler,RHB,0,0,76,83,8,20,No,No,No,No,40,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,KKR (75.00 L),KKR (75.00 L),SRH (4.00 Cr),SRH (4.00 Cr),SRH (4.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,8,8.63,28,162.72,34,25.37,40,--,--,26,23,11.5,143.75,26,26.62,29
Kolkata Knight Riders,Vaibhav Arora,28.00,India,Bowler (Pace),1.8,Indian,Uncapped,Pacer,Right Handed Bowler,RHB,0,0,77,81,6,25,No,No,No,No,55,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,KKR (1.80 Cr),KKR (1.80 Cr),KKR (60.00 L),KKR (60.00 L),PBKS (2.00 Cr),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,43,12,2.5,10,37.04,42,29.91,47,--,--,43,10,2.5,37.04,42,29.91,47
Kolkata Knight Riders,Varun Chakravarthy,34.00,India,Bowler (Spinner),12,Indian,Capped,Spinner,Right Handed Bowler,RHB,0,0,91,91,9,25,No,No,No,No,45,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,KKR (12.00 Cr),KKR (12.00 Cr),KKR (8.00 Cr),KKR (8.00 Cr),KKR (8.00 Cr),KKR (4.00 Cr),KKR (4.00 Cr),KXIP (8.40 Cr),--,--,--,--,--,--,--,--,--,--,--,141,25,3.4,34,55.1,138,21.59,185,--,--,94,31,5.17,58.5,94,24.73,111
Lucknow Super Giants,Abdul Samad,24.00,India,Batter,4.2,Indian,Uncapped,Spinner,Right Handed Bowler,RHB,76,81,65,65,6,85,No,No,Yes,No,55,No,no,FALSE,FALSE,TRUE,TRUE,TRUE,,LSG (4.20 Cr),LSG (4.20 Cr),SRH (4.00 Cr),SRH (4.00 Cr),SRH (4.00 Cr),SRH (20.00 L),SRH (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,71,60,19.48,857,148.79,7,62.5,2,--,--,71,857,19.48,148.79,7,62.5,2
Lucknow Super Giants,Aiden Markram,31.00,South Africa,Batter,2,Overseas,Capped,Spinner,Right Handed Bowler,RHB,83,83,70,70,8,85,No,No,Yes,No,88,Yes,no,TRUE,TRUE,TRUE,TRUE,TRUE,,LSG (2.00 Cr),LSG (2.00 Cr),SRH (2.60 Cr),SRH (2.60 Cr),SRH (2.60 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,146,139,31.08,3637,142.05,63,43.64,22,--,--,69,1671,30.38,135.53,24,59.5,6
