Team,Player Name,IPL 2025 Team and Salary,Nationality,Age,IPL 2026 Salary (Cr),Overseas Status,Status,Primary Role,Bowling Type (Spinner/Pacer/NA),Bowling Hand,"Batting Hand (""Right"" or  ""Left"")",Current Batting,Potential Batting,Current Bowling,Potential Bowling,Reputation,Can they keep wickets?,Are they a part time wicketkeeper?,Opener?,Finisher?,Captaincy,Batting Aggression (1-99),hasBattedAt3,hasBattedAt4,hasBattedAt5,hasBattedAt6,hasBattedAt7,2026 Team (Salary),2025 Team (Salary),2024 Team (Salary),2023 Team (Salary),2022 Team (Salary),2021 Team (Salary),2020 Team (Salary),2019 Team (Salary),2018 Team (Salary),2017 Team (Salary),2016 Team (Salary),2015 Team (Salary),2014 Team (Salary),2013 Team (Salary),2012 Team (Salary),2011 Team (Salary),2010 Team (Salary),2009 Team (Salary),2008 Team (Salary)
Royal Challengers Bengaluru,Venkatesh Iyer,KKR (23.75 Cr),India,31,7.00,Indian,Capped,All-Rounder,Pacer,Right Handed Bowler,LHB,81,82,65,68,7,No,No,Yes,No,70.00,75.00,TRUE,FALSE,FALSE,FALSE,FALSE,RCB (7.00 Cr),KKR (23.75 Cr),KKR (8.00 Cr),KKR (8.00 Cr),KKR (8.00 Cr),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Jitesh Sharma,RCB (11.00 Cr),India,32,11.00,Indian,Capped,Wicketkeeper-Batter,NA,NA,RHB,80,80,0,0,8,Yes,No,No,Yes,77.00,80.00,FALSE,FALSE,TRUE,TRUE,TRUE,RCB (11.00 Cr),RCB (11.00 Cr),PBKS (20.00 L),PBKS (20.00 L),PBKS (20.00 L),--,--,--,--,MI (10.00 L),MI (10.00 L),--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Nuwan Thushara,RCB (1.60 Cr),Sri Lanka,31,5.45,Overseas,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,80,80,8,No,No,No,No,40.00,30.00,FALSE,FALSE,FALSE,FALSE,FALSE,RCB (1.60 Cr),RCB (1.60 Cr),MI (4.80 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Krunal Pandya,RCB (5.75 Cr),India,35,5.75,Indian,Capped,All-Rounder,Spinner,Left Handed Bowler,LHB,78,78,80,80,8,No,No,No,No,75.00,70.00,FALSE,TRUE,TRUE,TRUE,TRUE,RCB (5.75 Cr),RCB (5.75 Cr),LSG (8.25 Cr),LSG (8.25 Cr),LSG (8.25 Cr),MI (8.80 Cr),MI (8.80 Cr),MI (8.80 Cr),MI (8.80 Cr),MI (2.00 Cr),MI (2.00 Cr),--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Rasikh Salam,RCB (6.00 Cr),India,26,6.00,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,78,84,6,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RCB (6.00 Cr),RCB (6.00 Cr),DC (20.00 L),--,KKR (20.00 L),--,--,MI (20.00 L),--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Jacob Duffy,RCB (2.00 Cr),New Zealand,31,2.00,Overseas,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,80,81,6,No,No,No,No,45.00,20.00,FALSE,FALSE,FALSE,FALSE,FALSE,RCB (2.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Romario Shepherd,RCB (1.50 Cr),West Indies,31,1.50,Overseas,Capped,All-Rounder,Pacer,Right Handed Bowler,RHB,81,81,72,72,7,No,No,No,No,70.00,90.00,FALSE,TRUE,TRUE,TRUE,TRUE,RCB (1.50 Cr),RCB (1.50 Cr),MI (50.00 L),LSG (50.00 L),SRH (7.75 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Devdutt Padikkal,RCB (2.00 Cr),India,25,2.00,Indian,Capped,Batter,NA,NA,LHB,79,85,0,0,8,No,No,No,No,68.00,80.00,FALSE,TRUE,TRUE,TRUE,FALSE,RCB (2.00 Cr),RCB (2.00 Cr),LSG (7.75 Cr),RR (7.75 Cr),RR (7.75 Cr),RCB (20.00 L),RCB (20.00 L),RCB (20.00 L),--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Suyash Sharma,RCB (2.60 Cr),India,23,2.60,Indian,Uncapped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,80,87,5,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RCB (2.60 Cr),RCB (2.60 Cr),KKR (20.00 L),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Richard Gleeson,MI (1.00 Cr),England,38,1.60,Overseas,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,76,76,6,No,No,No,No,50.00,65.00,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Jordan Cox,Not in IPL,England,25,0.75,Overseas,Uncapped,Wicketkeeper-Batter,NA,NA,RHB,77,84,0,0,4,Yes,No,No,No,42.00,88.00,TRUE,TRUE,TRUE,TRUE,FALSE,RCB (75.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Jacob Bethell,RCB (2.60 Cr),England,22,2.60,Overseas,Capped,All-Rounder,Spinner,Left Handed Bowler,LHB,73,91,73,77,8,No,No,No,No,70.00,82.00,FALSE,TRUE,TRUE,TRUE,TRUE,RCB (2.60 Cr),RCB (2.60 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Swapnil Singh,RCB (0.50 Cr),India,35,0.50,Indian,Uncapped,All-Rounder,Spinner,Left Handed Bowler,RHB,73,73,72,72,5,No,No,No,No,52.00,70.00,FALSE,TRUE,TRUE,TRUE,TRUE,RCB (50.00 L),RCB (50.00 L),RCB (20.00 L),LSG (20.00 L),--,--,--,--,--,KXIP (10.00 L),KXIP (10.00 L),--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Vicky Ostwal,DC (0.30 Cr),India,23,0.30,Indian,Uncapped,Bowler (Spinner),Spinner,Left Handed Bowler,RHB,0,0,70,81,3,No,No,No,No,35.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RCB (30.00 L),--,DC (20.00 L),DC (20.00 L),DC (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Mangesh Yadav,Unsold,India,23,5.20,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,72,79,4,No,No,No,No,35.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RCB (5.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Kanishk Chouhan,Unsold,India,19,0.30,Indian,Uncapped,All-Rounder,Spinner,Right Handed Bowler,RHB,69,78,66,76,3,No,No,No,No,35.00,82.00,FALSE,FALSE,FALSE,TRUE,TRUE,RCB (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Abhinandan Singh,RCB (0.30 Cr),India,29,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,73,77,3,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RCB (30.00 L),RCB (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Vihaan Malhotra,Unsold,India,19,0.30,Indian,Uncapped,Batter,NA,NA,LHB,65,79,0,0,3,No,No,No,No,19.00,85.00,FALSE,TRUE,TRUE,TRUE,FALSE,RCB (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Satvik Deswal,Unsold,India,19,0.30,Indian,Uncapped,All-Rounder,Spinner,Right Handed Bowler,RHB,64,76,62,74,3,No,No,No,No,30.00,82.00,FALSE,FALSE,FALSE,TRUE,TRUE,RCB (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Kagiso Rabada,GT (10.75 Cr),South Africa,31,10.75,Overseas,Capped,Bowler (Pace),Pacer,Right Handed Bowler,LHB,0,0,91,91,9,No,No,No,No,75.00,35.00,FALSE,FALSE,FALSE,FALSE,FALSE,GT (10.75 Cr),GT (10.75 Cr),PBKS (9.25 Cr),PBKS (9.25 Cr),PBKS (9.25 Cr),DC (4.20 Cr),DC (4.20 Cr),DC (4.20 Cr),DD (4.20 Cr),DD (5.00 Cr),--,--,--,--,--,--,--,--,--
Gujarat Titans,Shubman Gill,GT (16.50 Cr),India,26,16.50,Indian,Capped,Batter,NA,NA,RHB,89,93,52,52,10,No,No,Yes,No,86.00,92.00,TRUE,FALSE,FALSE,FALSE,FALSE,GT (16.50 Cr),GT (16.50 Cr),GT (8.00 Cr),GT (8.00 Cr),GT (8.00 Cr),KKR (1.80 Cr),KKR (1.80 Cr),KKR (1.80 Cr),KKR (1.80 Cr),--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Jos Buttler,GT (15.75 Cr),England,35,15.75,Overseas,Capped,Wicketkeeper-Batter,NA,NA,RHB,87,87,0,0,9,Yes,No,Yes,No,82.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,GT (15.75 Cr),GT (15.75 Cr),RR (10.00 Cr),RR (10.00 Cr),RR (10.00 Cr),RR (4.40 Cr),RR (4.40 Cr),RR (4.40 Cr),RR (4.40 Cr),MI (3.80 Cr),MI (3.80 Cr),--,--,--,--,--,--,--,--
Gujarat Titans,Rashid Khan,GT (18.00 Cr),Afghanistan,27,18.00,Overseas,Capped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,74,76,88,90,9,No,No,No,No,88.00,88.00,FALSE,TRUE,TRUE,TRUE,FALSE,GT (18.00 Cr),GT (18.00 Cr),GT (15.00 Cr),GT (15.00 Cr),GT (15.00 Cr),SRH (9.00 Cr),SRH (9.00 Cr),SRH (9.00 Cr),SRH (9.00 Cr),SRH (4.00 Cr),--,--,--,--,--,--,--,--,--
Gujarat Titans,Sai Sudharsan,GT (8.50 Cr),India,24,8.50,Indian,Capped,Batter,NA,NA,LHB,87,90,0,0,8,No,No,Yes,No,75.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,GT (8.50 Cr),GT (8.50 Cr),GT (20.00 L),GT (20.00 L),GT (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Mohammed Siraj,GT (12.25 Cr),India,32,12.25,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,84,84,8,No,No,No,No,45.00,30.00,FALSE,FALSE,FALSE,FALSE,FALSE,GT (12.25 Cr),GT (12.25 Cr),RCB (7.00 Cr),RCB (7.00 Cr),RCB (7.00 Cr),RCB (2.60 Cr),RCB (2.60 Cr),RCB (2.60 Cr),RCB (2.60 Cr),SRH (2.60 Cr),--,--,--,--,--,--,--,--,--
Gujarat Titans,Glenn Phillips,GT (2.00 Cr),New Zealand,29,2.00,Overseas,Capped,Batter,Spinner,Right Handed Bowler,RHB,81,82,64,64,8,Yes,Yes,No,No,72.00,85.00,TRUE,TRUE,TRUE,FALSE,FALSE,GT (2.00 Cr),GT (2.00 Cr),SRH (1.50 Cr),SRH (1.50 Cr),SRH (1.50 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Prasidh Krishna,GT (9.50 Cr),India,30,9.50,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,82,82,7,No,No,No,No,50.00,30.00,FALSE,FALSE,FALSE,FALSE,FALSE,GT (9.50 Cr),GT (9.50 Cr),RR (10.00 Cr),RR (10.00 Cr),RR (10.00 Cr),KKR (20.00 L),KKR (20.00 L),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,R. Sai Kishore,GT (2 Cr),India,29,2.00,Indian,Capped,Bowler (Spinner),Spinner,Left Handed Bowler,LHB,0,0,82,84,8,No,No,No,No,72.00,35.00,FALSE,FALSE,FALSE,FALSE,FALSE,GT (2.00 Cr),GT (2.00 Cr),GT (3.00 Cr),GT (3.00 Cr),GT (3.00 Cr),CSK (20.00 L),CSK (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Washington Sundar,GT (3.20 Cr),India,26,3.20,Indian,Capped,All-Rounder,Spinner,Right Handed Bowler,LHB,79,84,80,83,8,No,No,No,No,65.00,75.00,FALSE,TRUE,TRUE,TRUE,TRUE,GT (3.20 Cr),GT (3.20 Cr),SRH (8.75 Cr),SRH (8.75 Cr),SRH (8.75 Cr),RCB (3.20 Cr),RCB (3.20 Cr),RCB (3.20 Cr),RCB (3.20 Cr),RPSG (ⓘ),--,--,--,--,--,--,--,--,--
,Kusal Mendis,GT (0.75 Cr),Sri Lanka,31,0.75,Overseas,Capped,Wicketkeeper-Batter,NA,NA,RHB,79,81,0,0,7,Yes,No,Yes,No,78.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Rahul Tewatia,GT (4.00 Cr),India,33,4.00,Indian,Capped,All-Rounder,Spinner,Right Handed Bowler,LHB,78,78,70,70,8,No,No,No,Yes,55.00,82.00,FALSE,FALSE,TRUE,TRUE,TRUE,GT (4.00 Cr),GT (4.00 Cr),GT (9.00 Cr),GT (9.00 Cr),GT (9.00 Cr),RR (3.00 Cr),RR (3.00 Cr),DC (3.00 Cr),DD (3.00 Cr),KXIP (25.00 L),--,RR (10.00 L),RR (10.00 L),--,--,--,--,--,--
Gujarat Titans,Tom Banton,Unsold,England,27,2.00,Overseas,Capped,Wicketkeeper-Batter,NA,NA,RHB,77,80,0,0,7,Yes,No,Yes,No,62.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,GT (2.00 Cr),--,--,--,--,--,KKR (1.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Jason Holder,Unsold,West Indies,34,7.00,Overseas,Capped,All-Rounder,Pacer,Right Handed Bowler,RHB,76,76,77,77,7,No,No,No,No,84.00,75.00,FALSE,TRUE,TRUE,TRUE,TRUE,GT (7.00 Cr),--,--,RR (5.75 Cr),LSG (8.75 Cr),SRH (75.00 L),--,--,--,--,KKR (70.00 L),--,SRH (75.00 L),CSK (10.64 L),--,--,--,--,--
Gujarat Titans,Shahrukh Khan,GT (4.00 Cr),India,31,4.00,Indian,Uncapped,Batter,NA,NA,RHB,77,77,0,0,7,No,No,No,Yes,55.00,80.00,FALSE,FALSE,TRUE,TRUE,TRUE,GT (4.00 Cr),GT (4.00 Cr),GT (7.40 Cr),PBKS (9.00 Cr),PBKS (9.00 Cr),PBKS (5.25 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Ishant Sharma,GT (0.75 Cr),India,37,0.75,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,76,76,7,No,No,No,No,74.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,GT (75.00 L),GT (75.00 L),DC (50.00 L),DC (50.00 L),--,DC (1.10 Cr),DC (1.10 Cr),DC (1.10 Cr),--,KXIP (ⓘ),RPSG (3.80 Cr),SRH (2.60 Cr),SRH (4.25 Cr),SRH (2.39 Cr),DCG (2.18 Cr),DCG (2.03 Cr),KKR (4.34 Cr),KKR (4.62 Cr),KKR (3.81 Cr)
Gujarat Titans,Luke Wood,MI (0.50 Cr),England,30,0.75,Overseas,Capped,Bowler (Pace),Pacer,Left Handed Bowler,LHB,0,0,78,78,6,No,No,No,No,72.00,35.00,FALSE,FALSE,FALSE,FALSE,FALSE,GT (75.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Anuj Rawat,GT (0.30 Cr),India,26,0.30,Indian,Uncapped,Wicketkeeper-Batter,NA,NA,LHB,76,82,0,0,5,Yes,No,No,No,55.00,80.00,TRUE,TRUE,TRUE,TRUE,FALSE,GT (30.00 L),GT (30.00 L),RCB (3.40 Cr),RCB (3.40 Cr),RCB (3.40 Cr),RR (80.00 L),RR (80.00 L),--,--,--,--,--,--,--,--,--,--,--,--
,Karim Janat,GT (0.75 Cr),Afghanistan,27,0.75,Overseas,Capped,All-Rounder,Pacer,Right Handed Bowler,RHB,75,78,74,77,7,No,No,No,No,45.00,85.00,FALSE,TRUE,TRUE,TRUE,TRUE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Kumar Kushagra,GT (0.65 Cr),India,21,0.65,Indian,Uncapped,Wicketkeeper-Batter,NA,NA,RHB,74,83,0,0,4,Yes,No,No,No,65.00,82.00,TRUE,TRUE,TRUE,TRUE,FALSE,GT (65.00 L),GT (65.00 L),DC (7.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Jayant Yadav,GT (0.75 Cr),India,36,0.75,Indian,Capped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,74,74,6,No,No,No,No,74.00,35.00,FALSE,FALSE,FALSE,FALSE,FALSE,GT (75.00 L),GT (75.00 L),GT (1.70 Cr),GT (1.70 Cr),GT (1.70 Cr),MI (50.00 L),MI (50.00 L),DC (50.00 L),DD (50.00 L),DD (10.00 L),DD (10.00 L),DD (10.00 L),DD (10.00 L),--,--,--,--,--,--
Gujarat Titans,Manav Suthar,GT (0.30 Cr),India,23,0.30,Indian,Uncapped,Bowler (Spinner),Spinner,Left Handed Bowler,LHB,0,0,77,83,3,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,GT (30.00 L),GT (30.00 L),GT (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Mohd. Arshad Khan,GT (1.30 Cr),India,28,1.30,Indian,Uncapped,All-Rounder,Pacer,Left Handed Bowler,LHB,72,79,76,80,4,No,No,No,No,52.00,75.00,FALSE,TRUE,TRUE,TRUE,TRUE,GT (1.30 Cr),GT (1.30 Cr),LSG (20.00 L),MI (20.00 L),MI (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Kulwant Khejroliya,GT (0.30 Cr),India,34,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Left Handed Bowler,LHB,0,0,74,74,4,No,No,No,No,48.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Nishant Sindhu,GT (0.30 Cr),India,22,0.30,Indian,Uncapped,All-Rounder,Spinner,Left Handed Bowler,LHB,78,82,73,80,4,No,No,No,No,45.00,75.00,FALSE,TRUE,TRUE,TRUE,TRUE,GT (30.00 L),GT (30.00 L),CSK (60.00 L),CSK (60.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Gurnoor Singh Brar,GT (1.30 Cr),India,25,1.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,LHB,0,0,76,80,4,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,GT (1.30 Cr),GT (1.30 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Connor Esterhuizen,Unsold,South Africa,25,0.75,Overseas,Uncapped,Wicketkeeper-Batter,NA,NA,RHB,69,80,0,0,7,Yes,No,No,No,40.00,85.00,TRUE,TRUE,TRUE,TRUE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Ashok Sharma,RR (0.30 Cr),India,24,0.90,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,76,79,4,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,GT (90.00 L),RR (30.00 L),--,--,KKR (55.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gujarat Titans,Yarra Prithvi Raj,GT (0.30 Cr),India,28,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Left Handed Bowler,LHB,0,0,68,76,3,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,GT (30.00 L),--,--,--,--,--,--,KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Vaibhav Suryavanshi,RR (1.10 Cr),India,15,1.10,Indian,Capped,Batter,NA,NA,LHB,90,97,43,43,7,No,No,Yes,No,45.00,82.00,TRUE,FALSE,FALSE,FALSE,FALSE,RR (1.10 Cr),RR (1.10 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Jofra Archer,RR (12.50 Cr),England,31,12.50,Overseas,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,91,91,9,No,No,No,No,70.00,35.00,FALSE,FALSE,FALSE,FALSE,FALSE,RR (12.50 Cr),RR (12.50 Cr),--,MI (8.00 Cr),MI (8.00 Cr),RR (7.20 Cr),RR (7.20 Cr),RR (7.20 Cr),RR (7.20 Cr),--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Yashasvi Jaiswal,RR (18.00 Cr),India,24,18.00,Indian,Capped,Batter,NA,NA,LHB,87,92,51,51,9,No,No,Yes,No,60.00,92.00,TRUE,FALSE,FALSE,FALSE,FALSE,RR (18.00 Cr),RR (18.00 Cr),RR (4.00 Cr),RR (4.00 Cr),RR (4.00 Cr),RR (2.40 Cr),RR (2.40 Cr),--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Ravindra Jadeja,CSK (18.00 Cr),India,37,14.00,Indian,Capped,All-Rounder,Spinner,Left Handed Bowler,LHB,80,80,83,83,9,No,No,No,Yes,75.00,80.00,FALSE,FALSE,FALSE,TRUE,TRUE,RR (14.00 Cr),CSK (18.00 Cr),CSK (16.00 Cr),CSK (16.00 Cr),CSK (16.00 Cr),CSK (7.00 Cr),CSK (7.00 Cr),CSK (7.00 Cr),CSK (7.00 Cr),GL (9.50 Cr),GL (5.50 Cr),CSK (7.50 Cr),CSK (7.50 Cr),CSK (10.64 Cr),CSK (ⓘ),KTK (4.29 Cr),--,RR (24.34 L),RR (ⓘ)
Rajasthan Royals,Riyan Parag,RR (14.00 Cr),India,24,14.00,Indian,Capped,All-Rounder,Spinner,Right Handed Bowler,RHB,80,87,68,72,8,No,No,No,No,65.00,85.00,FALSE,TRUE,TRUE,TRUE,TRUE,RR (14.00 Cr),RR (14.00 Cr),RR (3.80 Cr),RR (3.80 Cr),RR (3.80 Cr),RR (20.00 L),RR (20.00 L),RR (20.00 L),--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Sam Curran,CSK (2.40 Cr),England,28,2.40,Overseas,Capped,All-Rounder,Pacer,Left Handed Bowler,LHB,81,83,82,85,8,No,No,No,No,80.00,85.00,FALSE,TRUE,TRUE,TRUE,TRUE,RR (2.40 Cr),CSK (2.40 Cr),PBKS (18.50 Cr),PBKS (18.50 Cr),--,CSK (5.50 Cr),CSK (5.50 Cr),KXIP (7.20 Cr),--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Ravi Bishnoi,LSG (11.00 Cr),India,25,7.20,Indian,Capped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,83,88,8,No,No,No,No,60.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RR (7.20 Cr),LSG (11.00 Cr),LSG (4.00 Cr),LSG (4.00 Cr),LSG (4.00 Cr),PBKS (2.00 Cr),KXIP (2.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--
,Maheesh Theekshana,RR (4.40 Cr),Sri Lanka,25,4.40,Overseas,Capped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,79,83,8,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Shimron Hetmyer,RR (11.00 Cr),West Indies,29,11.00,Overseas,Capped,Batter,NA,NA,LHB,81,81,0,0,8,No,No,No,Yes,74.00,85.00,FALSE,FALSE,TRUE,TRUE,TRUE,RR (11.00 Cr),RR (11.00 Cr),RR (8.50 Cr),RR (8.50 Cr),RR (8.50 Cr),DC (7.75 Cr),DC (7.75 Cr),RCB (4.20 Cr),--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Dhruv Jurel,RR (14.00 Cr),India,25,14.00,Indian,Capped,Wicketkeeper-Batter,NA,NA,RHB,86,89,0,0,8,Yes,No,No,No,74.00,80.00,TRUE,TRUE,TRUE,TRUE,FALSE,RR (14.00 Cr),RR (14.00 Cr),RR (20.00 L),RR (20.00 L),RR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Fazalhaq Farooqi,RR (2.00 Cr),Afghanistan,25,2.00,Overseas,Capped,Bowler (Pace),Pacer,Left Handed Bowler,RHB,0,0,81,84,8,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Tushar Deshpande,RR (6.50 Cr),India,31,6.50,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,LHB,0,0,80,81,7,No,No,No,No,55.00,35.00,FALSE,FALSE,FALSE,FALSE,FALSE,RR (6.50 Cr),RR (6.50 Cr),CSK (20.00 L),CSK (20.00 L),CSK (20.00 L),--,DC (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Nandre Burger,RR (3.50 Cr),South Africa,30,3.50,Overseas,Capped,Bowler (Pace),Pacer,Left Handed Bowler,LHB,0,0,80,82,7,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RR (3.50 Cr),--,RR (50.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Sandeep Sharma,RR (4.00 Cr),India,33,4.00,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,79,79,6,No,No,No,No,74.00,30.00,FALSE,FALSE,FALSE,FALSE,FALSE,RR (4.00 Cr),RR (4.00 Cr),RR (50.00 L),--,PBKS (50.00 L),SRH (3.00 Cr),SRH (3.00 Cr),SRH (3.00 Cr),SRH (3.00 Cr),KXIP (85.00 L),--,KXIP (85.00 L),KXIP (85.00 L),KXIP (10.00 L),--,--,--,--,--
Rajasthan Royals,Vignesh Puthur,MI (0.30 Cr),India,25,0.30,Indian,Uncapped,Bowler (Spinner),Spinner,Left Handed Bowler,RHB,0,0,77,83,4,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RR (30.00 L),MI (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Aman Rao,Unsold,India,22,0.30,Indian,Uncapped,Batter,NA,NA,RHB,72,81,0,0,3,No,No,No,No,35.00,65.00,FALSE,TRUE,TRUE,TRUE,FALSE,RR (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
